%
% Comments go after a '%' sign.
%
%
% Relation: Exoplanets Candidates Kepler
%
%
% Attributes: 39     Instances: 956
%
%

@relation Exoplanets Candidates Kepler

@attribute 'DispositionScore' numeric
@attribute 'OrbitalPeriod[days' numeric
@attribute 'OrbitalPeriodUpperUnc.[days' numeric
@attribute 'OrbitalPeriodLowerUnc.[days' numeric
@attribute 'TransitEpoch[BKJD' numeric
@attribute 'TransitEpochUpperUnc.[BKJD' numeric
@attribute 'TransitEpochLowerUnc.[BKJD' numeric
@attribute 'ImpactParamete' numeric
@attribute 'ImpactParameterUpperUnc' numeric
@attribute 'ImpactParameterLowerUnc' numeric
@attribute 'TransitDuration[hrs' numeric
@attribute 'TransitDurationUpperUnc.[hrs' numeric
@attribute 'TransitDurationLowerUnc.[hrs' numeric
@attribute 'TransitDepth[ppm' numeric
@attribute 'TransitDepthUpperUnc.[ppm' numeric
@attribute 'TransitDepthLowerUnc.[ppm' numeric
@attribute 'PlanetaryRadius[Earthradii' numeric
@attribute 'PlanetaryRadiusUpperUnc.[Earthradii' numeric
@attribute 'PlanetaryRadiusLowerUnc.[Earthradii' numeric
@attribute 'EquilibriumTemperature[K' numeric
@attribute 'InsolationFlux[Earthflux' numeric
@attribute 'InsolationFluxUpperUnc.[Earthflux' numeric
@attribute 'InsolationFluxLowerUnc.[Earthflux' numeric
@attribute 'TransitSignal-to-Nois' numeric
@attribute 'TCEPlanetNumbe' numeric
@attribute 'StellarEffectiveTemperature[K' numeric
@attribute 'StellarEffectiveTemperatureUpperUnc.[K' numeric
@attribute 'StellarEffectiveTemperatureLowerUnc.[K' numeric
@attribute 'StellarSurfaceGravity[log10(cm/s**2)' numeric
@attribute 'StellarSurfaceGravityUpperUnc.[log10(cm/s**2)' numeric
@attribute 'StellarSurfaceGravityLowerUnc.[log10(cm/s**2)' numeric
@attribute 'StellarRadius[Solarradii' numeric
@attribute 'StellarRadiusUpperUnc.[Solarradii' numeric
@attribute 'StellarRadiusLowerUnc.[Solarradii' numeric
@attribute 'RA[decimaldegrees' numeric
@attribute 'Dec[decimaldegrees' numeric
@attribute 'Kepler-band[mag]' numeric
@attribute 'ExoplanetCandidate' numeric
@attribute 'ExoplanetConfirmed' numeric

@data
0.997,23.2385587,0.000448,-0.000448,143.5274,0.0178,-0.0178,0.355,0.108,-0.355,8.432,0.374,-0.374,161.0,11.2,-11.2,2.18,0.64,-0.57,903.0,157.09,135.63,-84.07,15.5,1.0,6602.0,181.0,-250.0,4.108,0.22,-0.18,1.685,0.494,-0.444,288.4212,43.179794,13.932,1,2
0.0,2.99540439,1.35e-05,-1.35e-05,132.78128,0.00305,-0.00305,1.179,1.284,-0.128,6.172,0.17,-0.17,223.0,5.8,-5.8,65.37,11.1,-25.8,2195.0,5493.46,3148.36,-3753.83,45.6,1.0,6106.0,218.0,-218.0,3.633,0.345,-0.115,3.09,0.523,-1.22,299.12851,41.58754,13.173,0,0
0.0,2.23755641,4.88e-05,-4.88e-05,133.0574,0.0117,-0.0117,0.182,0.303,-0.182,2.089,0.557,-0.557,101.0,24.1,-24.1,0.93,0.3,-0.09,1397.0,897.8,828.32,-268.57,7.3,1.0,6026.0,162.0,-198.0,4.505,0.052,-0.208,0.924,0.291,-0.097,285.31628,38.686619,15.578,0,0
0,135.9079575,0,0,199.74974,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.20071,41.72921,11.579,0,0
0.0,13.6550963,0.000152,-0.000152,137.52651,0.00742,-0.00742,0.235,0.22,-0.235,4.117,0.215,-0.215,196.0,15.8,-15.8,1.35,0.45,-0.14,780.0,87.46,85.77,-26.68,14.6,1.0,6065.0,180.0,-198.0,4.487,0.054,-0.216,0.962,0.315,-0.105,296.61996,48.9058,14.818,0,0
1.0,14.78767172,5.58e-05,-5.58e-05,176.79399,0.00299,-0.00299,0.021,0.38,-0.021,6.1191,0.0956,-0.0956,782.0,20.6,-20.6,3.46,0.57,-0.58,827.0,110.42,48.32,-37.91,39.4,1.0,5814.0,78.0,-78.0,4.269,0.137,-0.112,1.248,0.209,-0.209,298.31836,47.279491,15.344,1,2
1.0,11.6933447,0.000203,-0.000203,142.6574,0.0131,-0.0131,0.353,0.091,-0.353,6.551,0.473,-0.473,66.9,6.5,-6.5,1.12,0.2,-0.17,950.0,192.95,91.31,-62.09,12.7,1.0,6049.0,72.0,-90.0,4.248,0.125,-0.125,1.354,0.251,-0.205,289.77954,41.214409,13.848,1,1
0.999,12.06222962,2.75e-05,-2.75e-05,138.22229,0.00177,-0.00177,0.392,0.044,-0.392,2.0584,0.0572,-0.0572,300.0,10.8,-10.8,1.62,0.21,-0.13,750.0,74.8,27.47,-17.09,32.4,1.0,5547.0,99.0,-110.0,4.451,0.076,-0.093,0.933,0.12,-0.08,296.49612,47.182861,13.581,1,2
0,123.1149477,0,0,172.26301,0,0,0,0,0,17.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.2529,47.278999,9.473,0,0
0.995,15.0330623,0.000188,-0.000188,131.89493,0.00927,-0.00927,0.896,0.059,-0.606,6.326,0.295,-0.295,132.0,10.2,-10.2,2.18,0.33,-0.48,928.0,175.74,67.18,-75.09,14.9,1.0,5849.0,70.0,-79.0,4.076,0.182,-0.098,1.601,0.237,-0.356,288.88333,39.74456,14.606,1,2
